@relation w1

@attribute FARE numeric
@attribute SUCCESS {0,1}
@attribute SEATCLASS {1,2,3}
@attribute GUESTS {0,1,2,3,4,5,6,7,8}
@attribute AGE numeric
@attribute Male {0,1}
@attribute MARRIED {0,1}

@data
7.25,0,3,1,22,1,1
71.2833,1,1,1,38,0,1
7.925,1,3,0,26,0,0
53.1,1,1,1,35,0,1
8.05,0,3,0,35,1,1
8.4583,0,3,0,25,1,1
51.8625,0,1,0,54,1,1
21.075,0,3,3,2,1,0
11.1333,1,3,0,27,0,1
30.0708,1,2,1,14,0,1
16.7,1,3,1,4,0,0
26.55,1,1,0,58,0,0
8.05,0,3,0,20,1,1
31.275,0,3,1,39,1,1
7.8542,0,3,0,14,0,0
16,1,2,0,55,0,1
29.125,0,3,4,2,1,0
13,1,2,0,25,1,1
18,0,3,1,31,0,1
7.225,1,3,0,33,0,1
26,0,2,0,35,1,1
13,1,2,0,34,1,1
8.0292,1,3,0,15,0,0
35.5,1,1,0,28,1,1
21.075,0,3,3,8,0,0
31.3875,1,3,1,38,0,1
7.225,0,3,0,25,1,1
263,0,1,3,19,1,1
7.8792,1,3,0,18,0,0
7.8958,0,3,0,25,1,1
27.7208,0,1,0,40,1,0
146.5208,1,1,1,33,0,1
7.75,1,3,0,18,0,0
10.5,0,2,0,66,1,1
82.1708,0,1,1,28,1,1
52,0,1,1,42,1,1
7.2292,1,3,0,25,1,1
8.05,0,3,0,21,1,1
18,0,3,2,18,0,0
11.2417,1,3,1,14,0,0
9.475,0,3,1,40,0,1
21,0,2,1,27,0,1
7.8958,0,3,0,25,1,1
41.5792,1,2,1,3,0,0
7.8792,1,3,0,19,0,0
8.05,0,3,0,25,1,1
15.5,0,3,1,25,1,1
7.75,1,3,0,18,0,0
21.6792,0,3,2,25,1,1
17.8,0,3,1,18,0,1
39.6875,0,3,4,7,1,0
7.8,0,3,0,21,1,1
76.7292,1,1,1,49,0,1
26,1,2,1,29,0,1
61.9792,0,1,0,65,1,1
35.5,1,1,0,25,1,1
10.5,1,2,0,21,0,0
7.2292,0,3,0,28.5,1,1
27.75,1,2,1,5,0,0
46.9,0,3,5,11,1,0
7.2292,0,3,0,22,1,1
80,1,1,0,38,0,0
83.475,0,1,1,45,1,1
27.9,0,3,3,4,1,0
27.7208,0,1,0,25,1,1
15.2458,1,3,1,3,1,0
10.5,1,2,0,29,0,1
8.1583,0,3,0,19,1,1
7.925,1,3,4,17,0,0
8.6625,0,3,2,26,1,1
10.5,0,2,0,32,1,1
46.9,0,3,5,16,0,0
73.5,0,2,0,21,1,1
14.4542,0,3,1,26,1,1
56.4958,1,3,0,32,1,1
7.65,0,3,0,25,1,1
7.8958,0,3,0,25,1,1
8.05,0,3,0,25,1,1
29,1,2,0,0.83,1,0
12.475,1,3,0,30,0,0
9,0,3,0,22,1,1
9.5,1,3,0,29,1,1
7.7875,1,3,0,18,0,0
47.1,0,1,0,28,1,1
10.5,1,2,0,17,0,0
15.85,1,3,3,33,0,1
34.375,0,3,1,16,1,1
8.05,0,3,0,25,1,1
263,1,1,3,23,0,0
8.05,0,3,0,24,1,1
8.05,0,3,0,29,1,1
7.8542,0,3,0,20,1,1
61.175,0,1,1,46,1,1
20.575,0,3,1,26,1,1
7.25,0,3,0,59,1,1
8.05,0,3,0,25,1,1
34.6542,0,1,0,71,1,1
63.3583,1,1,0,23,1,1
23,1,2,0,34,0,1
26,0,2,1,34,1,1
7.8958,0,3,0,28,0,0
7.8958,0,3,0,25,1,1
77.2875,0,1,0,21,1,1
8.6542,0,3,0,33,1,1
7.925,0,3,2,37,1,1
7.8958,0,3,0,28,1,1
7.65,1,3,0,21,0,0
7.775,1,3,0,25,1,1
7.8958,0,3,0,38,1,1
24.15,1,3,1,18,0,0
52,0,1,0,47,1,1
14.4542,0,3,1,14.5,0,0
8.05,0,3,0,22,1,1
9.825,0,3,1,20,0,0
14.4583,0,3,0,17,0,0
7.925,0,3,0,21,1,1
7.75,0,3,0,70.5,1,1
21,0,2,1,29,1,1
247.5208,0,1,0,24,1,1
31.275,0,3,4,2,0,0
73.5,0,2,2,21,1,1
8.05,0,3,0,25,1,1
30.0708,0,2,1,32.5,1,1
13,1,2,0,32.5,0,0
77.2875,0,1,0,54,1,1
11.2417,1,3,1,12,1,0
7.75,0,3,0,25,1,1
7.1417,1,3,0,24,1,1
22.3583,1,3,1,18,0,0
6.975,0,3,0,45,1,1
7.8958,0,3,0,33,1,1
7.05,0,3,0,20,1,1
14.5,0,3,1,47,0,1
26,1,2,1,29,0,1
13,0,2,0,25,1,1
15.0458,0,2,0,23,1,1
26.2833,1,1,0,19,0,0
53.1,0,1,1,37,1,1
9.2167,0,3,0,16,1,1
79.2,0,1,0,24,1,1
15.2458,0,3,0,33,0,1
7.75,1,3,0,22,0,0
15.85,1,3,1,24,0,1
6.75,0,3,0,19,1,1
11.5,0,2,0,18,1,1
36.75,0,2,1,19,1,1
7.7958,1,3,0,27,1,1
34.375,0,3,2,9,0,0
26,0,2,0,36.5,1,1
13,0,2,0,42,1,0
12.525,0,2,0,51,1,0
66.6,1,1,1,22,0,1
8.05,0,3,0,55.5,1,1
14.5,0,3,0,40.5,1,1
7.3125,0,3,0,25,1,1
61.3792,0,1,0,51,1,1
7.7333,1,3,0,16,0,0
8.05,0,3,0,30,1,1
8.6625,0,3,0,25,1,1
69.55,0,3,8,3,1,0
16.1,0,3,0,44,1,1
15.75,1,2,0,40,0,1
7.775,0,3,0,26,1,1
8.6625,0,3,0,17,1,1
39.6875,0,3,4,1,1,0
20.525,1,3,0,9,1,0
55,1,1,0,33,0,1
27.9,0,3,1,45,0,1
25.925,0,1,0,25,1,1
56.4958,0,3,0,28,1,1
33.5,0,1,0,61,1,1
29.125,0,3,4,4,1,0
11.1333,1,3,1,1,0,0
7.925,0,3,0,21,1,1
30.6958,0,1,0,56,1,1
7.8542,0,3,1,18,1,1
25.4667,0,3,3,3,1,0
28.7125,0,1,0,50,0,0
13,0,2,0,30,1,1
